iter	Logloss
0	0.6686822121
1	0.646489389
2	0.6249545745
3	0.6054226715
4	0.5875918282
5	0.5739764093
6	0.5613314361
7	0.549440127
8	0.5369953318
9	0.5270626407
10	0.5174256226
11	0.5080193373
12	0.4997625119
13	0.4933832743
14	0.4859389691
15	0.4803570313
16	0.4733876096
17	0.4674231047
18	0.4523103547
19	0.4477796676
20	0.444207844
21	0.4381811597
22	0.4323587757
23	0.4222542881
24	0.4186694958
25	0.4109795494
26	0.4073319416
27	0.4046518132
28	0.4014908988
29	0.3967386871
30	0.3929346376
31	0.3910714719
32	0.3888837647
33	0.3858686701
34	0.3842416008
35	0.3763196323
36	0.3737424393
37	0.3718736892
38	0.3700050165
39	0.3677374309
40	0.365836228
41	0.3648523496
42	0.360788864
43	0.3587348469
44	0.3549070605
45	0.3483592367
46	0.3475614104
47	0.3409907746
48	0.3397235665
49	0.33818404
50	0.3374706385
51	0.3362495377
52	0.3344266971
53	0.3329116775
54	0.3317311576
55	0.3310681416
56	0.3301707357
57	0.3287125252
58	0.3263957395
59	0.3251083204
60	0.3206675584
61	0.3196292854
62	0.3191160811
63	0.317926909
64	0.3153570517
65	0.3141332226
66	0.3107363815
67	0.3097308323
68	0.3080078889
69	0.3070320996
70	0.3061420127
71	0.3056698214
72	0.3052655351
73	0.3029475486
74	0.3022944561
75	0.3003152069
76	0.2995531957
77	0.2991980941
78	0.2975631935
79	0.2971392208
80	0.2961740393
81	0.295860186
82	0.2955154468
83	0.2948410142
84	0.2933942153
85	0.29245642
86	0.2918868541
87	0.291099811
88	0.2907742714
89	0.2899736051
90	0.2889891979
91	0.288619981
92	0.2878678992
93	0.2873241425
94	0.2865779818
95	0.2861634425
96	0.2857441479
97	0.2855350155
98	0.2849129849
99	0.2847272597
100	0.2842020806
101	0.2839194885
102	0.2829234491
103	0.2816590898
104	0.2810096042
105	0.2806557248
106	0.2798133569
107	0.2788896151
108	0.2783515069
109	0.2780734898
110	0.2776342658
111	0.2765630999
112	0.2763489762
113	0.2758859663
114	0.2753024535
115	0.2749025697
116	0.2742679273
117	0.2740924671
118	0.2736457104
119	0.2727054805
120	0.2724923682
121	0.2722968378
122	0.2717575766
123	0.2716072678
124	0.2713072143
125	0.2707304429
126	0.2705993188
127	0.2704234566
128	0.2701741922
129	0.269790568
130	0.2694354144
131	0.268197687
132	0.267831551
133	0.2676187142
134	0.2674377274
135	0.2670809211
136	0.2664482123
137	0.2657832491
138	0.2656952852
139	0.264833827
140	0.2643664153
141	0.2638616851
142	0.2635077297
143	0.2619514141
144	0.2618248118
145	0.2616507361
146	0.2614982787
147	0.2611180565
148	0.2609805466
149	0.26083842
150	0.2607040726
151	0.2605779387
152	0.2601614043
153	0.2600211487
154	0.2596568463
155	0.2595317943
156	0.2594477121
157	0.2593088061
158	0.2586655891
159	0.2585263599
160	0.2582860866
161	0.2581202145
162	0.2580028318
163	0.2578856946
164	0.2575431147
165	0.2573522761
166	0.2571794575
167	0.2570961704
168	0.2569935252
169	0.2565432458
170	0.2554416568
171	0.2552681889
172	0.2551390935
173	0.2548233133
174	0.2546271041
175	0.2544630047
176	0.2543459924
177	0.2542282938
178	0.2536253606
179	0.2534390973
180	0.2530686156
181	0.2529376867
182	0.2527975099
183	0.2527025892
184	0.2524711739
185	0.2523532369
186	0.2519991783
187	0.2517225682
188	0.2516437681
189	0.2515190231
190	0.251432281
191	0.2513571861
192	0.2512686026
193	0.2512063629
194	0.251019199
195	0.2507717615
196	0.2506969938
197	0.2506055024
198	0.2504469805
199	0.2501958948
200	0.2499473221
201	0.2495028043
202	0.2494354537
203	0.2491234591
204	0.249030878
205	0.2486503422
206	0.2483636542
207	0.2474830263
208	0.2473998474
209	0.247328011
210	0.2471747385
211	0.2469626668
212	0.2467839507
213	0.2466100328
214	0.245880965
215	0.245540998
216	0.2454320204
217	0.2453579362
218	0.2446360462
219	0.2445132553
220	0.2444211605
221	0.2443426024
222	0.2442064832
223	0.2439282418
224	0.2438420439
225	0.2437422171
226	0.2433079862
227	0.2428368846
228	0.2427506191
229	0.2426807357
230	0.2423892569
231	0.2422611402
232	0.2420697278
233	0.2419463412
234	0.2418590191
235	0.2415687965
236	0.2414623266
237	0.2413816001
238	0.2413088867
239	0.2411939567
240	0.2410678473
241	0.2409998647
242	0.2406135494
243	0.2405587622
244	0.2404605376
245	0.2403765712
246	0.2403091111
247	0.2402248658
248	0.2401608085
249	0.2400839214
250	0.2396692216
251	0.2394239393
252	0.2393278708
253	0.2392065953
254	0.2391103243
255	0.2390354968
256	0.2389218704
257	0.2388214965
258	0.2387389935
259	0.2386755612
260	0.2386016923
261	0.2385280925
262	0.2383801338
263	0.2383162363
264	0.2382190283
265	0.2380209258
266	0.2377267021
267	0.2376334154
268	0.2375102169
269	0.2374271215
270	0.2373407839
271	0.2372728989
272	0.2368971461
273	0.2367840325
274	0.2367129357
275	0.2365170777
276	0.2364436906
277	0.2363864473
278	0.236250264
279	0.2361371745
280	0.2360593485
281	0.2359890454
282	0.2359090539
283	0.2356986976
